Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA;3145683;RUSAK RINGAN;L 1929 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;CAMRY;5895098;RUSAK SEDANG;L 1663 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;CAMRY;5962124;RUSAK SEDANG;L 1164 BS;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3441848;RUSAK RINGAN;L 1903 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3619069;RUSAK RINGAN;L 1516 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4334352;RUSAK SEDANG;L 1711 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;5529909;RUSAK SEDANG;L 1877 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;CAMRY;3097056;RUSAK RINGAN;L 1164 BS;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. SRIKANDI DIAMOND INDAH MOTORS;MITSUBISHIPAJERO SPORT 2.5;3263341;RUSAK RINGAN;L 1927 EP;2023;PT SRIKANDI DIAMOND INDAH MOTORS;PT SRIKANDI DIAMOND INDAH MOTORS
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;3367424;RUSAK RINGAN;L 1852 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;SOLUNA;3084846;RUSAK RINGAN;L 1926 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;COMMUTER ACE MANUAL VIN 2019;59524;TUNE UP;L 7643 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
